Name,Quantity,Cost,Link
TTC Silent Red V3 ,70,$28.80,https://stackskb.com/store/ttc-silent-red-v3-switch/
Durock Smokey Screw-In Stabilizers V2 (4+1 w/ 6.25u spacebar),1,$18.58,https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/
EC11 Rotary Encoder with Switch,1,$0.68,https://www.flyrobo.in/15mm-ec11-rotary-encoder-with-switch-digital-potentiometer
Cherry MX Plate Mount Stabilizers (2U),4,$5.20,https://stackskb.com/store/genuine-cherry-mx-plate-mount-stabilizers-2u/
Iceberg Japanese XDA PBT Keycaps,1,$25.00,https://curiositycaps.in/products/iceberg-japanese-xda-pbt-keycaps-1
Diode 1N4148 Through - Hole,100,$2.06,https://www.amazon.in/dp/B084ZP5BJ3?ref_=cm_sw_r_cp_ud_dp_YPW3WFYTE31QA18570D1&_encoding=UTF8&psc=1
SK6812 LEDs,4,$2.95,Local store
PCB - (Black Color),5,$48.86,https://jlcpcb.com/
Raspberry Pi Pico,1,$10.00,https://amzn.in/d/4E8fnHk
"Case- top,mid,bot",1,$5.00,Printing Legion transport charges